code;activite;phase;icr;classant
ADPA017;1;0;120;Y
ADPA018;1;0;340;Y
ADPA019;1;0;394;Y
ADPA020;1;0;174;Y
ADPA021;1;0;552;Y
ADPA022;1;0;320;Y
ADPA023;1;0;200;Y
ADPA024;1;0;417;Y
ADPC001;1;0;334;Y
ADPC002;1;0;553;Y
ADPC003;1;0;457;Y
ADPC004;1;0;324;Y
ADPC900;1;0;380;Y
ADQB001;1;0;23;NA
ADQB002;1;0;53;NA
ADQP002;1;0;72;NA
ADQP003;1;0;77;NA
ADQP007;1;0;88;NA
ADQP014;1;0;31;NA
AEFA001;1;0;591;Y
AEFA002;1;0;1064;Y
AEFA003;1;0;630;Y
AEGA001;1;0;182;Y
AEGB001;1;0;13;NA
AEJA001;1;0;490;Y
AEJA002;1;0;616;Y
AEJA003;1;0;451;Y
AEJA004;1;0;423;Y
AEJA005;1;0;560;Y
AEKA001;1;0;85;Y
AELA001;1;0;269;Y
AELA002;1;0;100;Y
AELB001;1;0;228;Y
AELB002;1;0;174;Y
AEMP491;1;0;13;NA
AENA001;1;0;644;Y
AEPA001;1;0;479;Y
AEPA002;1;0;431;Y
AEPA004;1;0;504;Y
AEPB001;1;0;336;Y
AEQH001;1;0;175;NA
AEQH002;1;0;189;NA
AEQM001;1;0;34;NA
AFCA001;1;0;398;Y
AFCA002;1;0;188;Y
AFCA003;1;0;451;Y
AFCA004;1;0;54;Y
AFFA001;1;0;701;Y
AFFA002;1;0;816;Y
AFFA003;1;0;684;Y
AFFA004;1;0;334;Y
AFFA005;1;0;515;Y
AFFA006;1;0;364;Y
AFFA007;1;0;562;Y
AFFA008;1;0;750;Y
AFFA009;1;0;781;Y
AFFA010;1;0;378;Y
AFFA011;1;0;842;Y
AFGA001;1;0;71;Y
AFGA002;1;0;119;Y
AFHB001;1;0;15;NA
AFHB002;1;0;22;NA
AFJA001;1;0;342;Y
AFJA002;1;0;311;Y
AFJA003;1;0;401;Y
AFJA004;1;0;210;Y
AFJA005;1;0;471;Y
AFJB002;1;0;16;NA
AFKB001;1;0;141;Y
AFKB002;1;0;144;Y
AFLA003;1;0;168;Y
AFLB001;1;0;52;NA
AFLB003;1;0;43;NA
AFLB004;1;0;62;NA
AFLB006;1;0;23;Y
AFLB007;1;0;28;Y
AFLB008;1;0;265;Y
AFLB010;1;0;82;NA
AFLB013;1;0;20;NA
AFLB016;1;0;41;NA
AFLB017;1;0;20;NA
AFLH001;1;0;147;Y
AFLH002;1;0;75;Y
AFPA001;1;0;223;Y
AFQH001;1;0;282;NA
AFQH002;1;0;167;NA
AFQH003;1;0;232;NA
AFSA001;1;0;392;Y
AFSA002;1;0;308;Y
AFSA003;1;0;248;Y
AGLB001;1;0;82;Y
AGMA001;1;0;22;NA
AGMP001;1;0;0;Y
AGQC001;1;0;20;NA
AGQP004;1;0;200;NA
AGQP005;1;0;120;NA
AGQP006;1;0;40;NA
AHCA001;1;0;735;Y
AHCA002;1;0;334;Y
AHCA003;1;0;421;Y
AHCA004;1;0;421;Y
AHCA005;1;0;264;Y
AHCA006;1;0;364;Y
AHCA007;1;0;273;Y
AHCA008;1;0;507;Y
AHCA009;1;0;300;Y
AHCA010;1;0;643;Y
AHCA011;1;0;421;Y
AHCA012;1;0;402;Y
AHCA013;1;0;207;Y
AHCA014;1;0;1061;Y
AHCA015;1;0;222;Y
AHCA016;1;0;325;Y
AHCA017;1;0;559;Y
AHCA018;1;0;273;Y
AHCA019;1;0;452;Y
AHCA020;1;0;942;Y
AHCA021;1;0;421;Y
AHCA022;1;0;794;Y
AHCA023;1;0;164;Y
AHEA001;1;0;780;Y
AHEA002;1;0;547;Y
AHEA003;1;0;595;Y
AHEA004;1;0;507;Y
AHEA005;1;0;556;Y
AHEA006;1;0;658;Y
AHEA007;1;0;242;Y
AHEA008;1;0;431;Y
AHEA009;1;0;669;Y
AHEA010;1;0;515;Y
AHEA011;1;0;507;Y
AHEA012;1;0;406;Y
AHEA013;1;0;643;Y
AHEA014;1;0;443;Y
AHEA015;1;0;286;Y
AHEA016;1;0;480;Y
AHEA017;1;0;780;Y
AHEA018;1;0;1086;Y
AHFA001;1;0;499;Y
AHFA002;1;0;169;Y
AHFA003;1;0;692;Y
AHFA004;1;0;221;Y
AHFA005;1;0;234;Y
AHFA007;1;0;507;Y
AHFA008;1;0;653;Y
AHFA009;1;0;43;NA
AHFA010;1;0;483;Y
AHFA011;1;0;719;Y
AHFA012;1;0;669;Y
AHGA001;1;0;200;Y
AHGA002;1;0;70;Y
AHGA801;1;0;0;Y
AHGA812;1;0;0;Y
AHGB801;1;0;0;Y
AHGC801;1;0;0;Y
AHHA001;1;0;64;Y
AHHA002;1;0;70;Y
AHHB001;1;0;20;NA
AHKA001;1;0;200;Y
AHKA002;1;0;150;Y
AHKA003;1;0;200;Y
AHLA001;1;0;230;Y
AHLA002;1;0;365;Y
AHLA003;1;0;200;Y
AHLA802;1;0;0;Y
AHLA804;1;0;0;Y
AHLB001;1;0;64;NA
AHLB002;1;0;43;Y
AHLB003;1;0;13;Y
AHLB004;1;0;25;Y
AHLB005;1;0;36;NA
AHLB006;1;0;10;Y
AHLB007;1;0;21;NA
AHLB008;1;0;53;NA
AHLB009;1;0;60;NA
AHLB010;1;0;41;Y
AHLB011;1;0;22;Y
AHLB012;1;0;64;Y
AHLB013;1;0;75;NA
AHLB014;1;0;32;Y
AHLB015;1;0;16;Y
AHLB016;1;0;48;Y
AHLB017;1;0;49;NA
AHLB018;1;0;160;Y
AHLC802;1;0;0;Y
AHLH001;1;0;97;NA
AHLH002;1;0;123;Y
AHLH003;1;0;175;Y
AHLH004;1;0;114;Y
AHLH005;1;0;164;NA
AHLH006;1;0;82;Y
AHLH007;1;0;49;Y
AHLH008;1;0;45;NA
AHLH009;1;0;85;NA
AHLH010;1;0;85;Y
AHLH011;1;0;45;NA
AHLH012;1;0;148;NA
AHLH013;1;0;182;NA
AHLH014;1;0;47;Y
AHLH015;1;0;100;Y
AHLH016;1;0;143;NA
AHLH017;1;0;232;Y
AHLH018;1;0;133;Y
AHLH019;1;0;245;NA
AHLH020;1;0;126;NA
AHNB001;1;0;25;NA
AHNB002;1;0;20;NA
AHNH001;1;0;159;NA
AHNH002;1;0;232;NA
AHPA001;1;0;152;Y
AHPA002;1;0;577;Y
AHPA003;1;0;173;Y
AHPA004;1;0;416;Y
AHPA005;1;0;506;Y
AHPA006;1;0;584;Y
AHPA007;1;0;196;Y
AHPA008;1;0;111;Y
AHPA009;1;0;108;Y
AHPA010;1;0;221;Y
AHPA011;1;0;131;Y
AHPA012;1;0;360;Y
AHPA013;1;0;170;Y
AHPA014;1;0;205;Y
AHPA015;1;0;126;Y
AHPA016;1;0;411;Y
AHPA017;1;0;384;Y
AHPA018;1;0;170;Y
AHPA019;1;0;159;Y
AHPA020;1;0;430;Y
AHPA021;1;0;132;Y
AHPA022;1;0;149;Y
AHPA023;1;0;197;Y
AHPA024;1;0;145;Y
AHPA025;1;0;378;Y
AHPA026;1;0;246;Y
AHPA027;1;0;160;Y
AHPA028;1;0;85;Y
AHPC001;1;0;112;Y
AHQB001;1;0;32;NA
AHQB002;1;0;38;NA
AHQB003;1;0;20;NA
AHQB006;1;0;90;NA
AHQB008;1;0;32;NA
AHQB013;1;0;29;NA
AHQB015;1;0;90;NA
AHQB016;1;0;49;NA
AHQB019;1;0;18;NA
AHQB020;1;0;107;NA
AHQB024;1;0;23;NA
AHQB025;1;0;23;NA
AHQB026;1;0;30;NA
AHQB027;1;0;16;NA
AHQB028;1;0;38;NA
AHQB030;1;0;43;NA
AHQB031;1;0;89;NA
AHQB032;1;0;26;NA
AHQB033;1;0;29;NA
AHQD001;1;0;44;NA
AHQD002;1;0;49;NA
AHQD003;1;0;23;NA
AHQE002;1;0;48;NA
AHQJ021;1;0;0;NA
AHQP001;1;0;19;NA
AHQP002;1;0;19;NA
AHQP003;1;0;23;NA
AHQP004;1;0;27;NA
AHQP005;1;0;54;NA
AHQP006;1;0;29;NA
AHQP007;1;0;84;NA
AHQP008;1;0;26;NA
AHQP009;1;0;33;NA
AHQP010;1;0;28;NA
AHQP011;1;0;24;NA
AHQP012;1;0;30;NA
AHQP013;1;0;11;NA
AHQP016;1;0;18;NA
AHQP900;1;0;92;NA
AHRP001;1;0;51;NA
AJFA001;1;0;200;Y
AJFA002;1;0;176;Y
AJFA003;1;0;236;Y
AJFC001;1;0;277;Y
AJFC002;1;0;262;Y
AJLB001;1;0;66;Y
AJLB002;1;0;87;NA
AJLF001;1;0;81;Y
AJLH001;1;0;244;NA
AJLH002;1;0;183;NA
AJLH003;1;0;100;Y
AJLH004;1;0;70;NA
AJLH005;1;0;204;NA
AJLH006;1;0;213;NA
AJLH007;1;0;211;NA
AJLH008;1;0;169;Y
AJLH009;1;0;193;Y
AJLH010;1;0;187;NA
AJLH011;1;0;260;NA
AJLH012;1;0;99;NA
AJLH013;1;0;266;NA
AJLH014;1;0;204;NA
AJLH015;1;0;206;NA
AJLH016;1;0;111;Y
AJLH017;1;0;212;Y
AJLH018;1;0;225;NA
AJLH019;1;0;56;Y
AJLH020;1;0;136;Y
AJLJ001;1;0;191;NA
AJLJ002;1;0;196;NA
AJLJ003;1;0;136;NA
AJNA001;1;0;260;Y
AJNC001;1;0;270;Y
AJNC002;1;0;260;Y
AJNH001;1;0;232;NA
AJNH002;1;0;119;NA
AJNH003;1;0;162;NA
AJNH004;1;0;184;NA
AJNH005;1;0;125;NA
AJNH006;1;0;107;NA
AJNH007;1;0;231;NA
AJNH008;1;0;231;NA
AJNH009;1;0;199;NA
AJNJ001;1;0;187;NA
AJQP001;1;0;25;NA
ALQP001;1;0;49;NA
ALQP002;1;0;42;NA
ALQP003;1;0;29;NA
ALQP004;1;0;34;NA
ALQP005;1;0;42;NA
ALQP006;1;0;42;NA
AMQP009;1;0;81;NA
AMQP010;1;0;60;Y
AMQP011;1;0;65;Y
AMQP012;1;0;124;Y
AMQP013;1;0;136;Y
AMQP014;1;0;200;Y
AMQP015;1;0;220;Y
ANLB003;1;0;9;NA
ANLB004;1;0;57;NA
ANLP002;1;0;15;Y
ANMP001;1;0;146;NA
ANQP002;1;0;35;NA
ANQP004;1;0;42;NA
ANQP005;1;0;82;NA
ANQP006;1;0;78;NA
ANRP001;1;0;47;NA
AZGA001;1;0;50;Y
AZMP001;1;0;727;Y
AZMP002;1;0;13;NA
AZNL001;1;0;101;Y
AZQP001;1;0;33;NA
AZQP002;1;0;62;NA
AZQX005;1;0;148;NA
AZRP001;1;0;25;NA
BAAA001;1;0;185;Y
BAAA002;1;0;103;Y
BABA001;1;0;185;Y
BACA001;1;0;145;Y
BACA002;1;0;60;Y
BACA003;1;0;82;Y
BACA004;1;0;43;NA
BACA005;1;0;79;Y
BACA006;1;0;152;Y
BACA007;1;0;103;Y
BACA008;1;0;60;Y
BADA001;1;0;174;Y
BADA002;1;0;283;Y
BADA003;1;0;89;Y
BADA004;1;0;122;Y
BADA005;1;0;141;Y
BADA006;1;0;212;Y
BADA007;1;0;144;Y
BAEA001;1;0;108;Y
BAEA002;1;0;175;Y
BAEA003;1;0;375;Y
BAFA001;1;0;125;Y
BAFA002;1;0;108;Y
BAFA003;1;0;182;Y
BAFA004;1;0;122;Y
BAFA005;1;0;92;Y
BAFA006;1;0;45;Y
BAFA007;1;0;130;Y
BAFA008;1;0;130;Y
BAFA009;1;0;239;Y
BAFA010;1;0;48;Y
BAFA011;1;0;130;Y
BAFA012;1;0;38;Y
BAFA013;1;0;37;Y
BAFA014;1;0;70;Y
BAFA015;1;0;103;Y
BAFA016;1;0;108;Y
BAFA017;1;0;157;Y
BAFA018;1;0;111;Y
BAFA019;1;0;91;Y
BAGA001;1;0;62;Y
BAHA001;1;0;60;Y
BALA001;1;0;247;Y
BALB001;1;0;34;Y
BAMA001;1;0;257;Y
BAMA002;1;0;226;Y
BAMA003;1;0;144;Y
BAMA004;1;0;108;Y
BAMA005;1;0;134;Y
BAMA007;1;0;275;Y
BAMA008;1;0;296;Y
BAMA009;1;0;152;Y
BAMA010;1;0;187;Y
BAMA011;1;0;163;Y
BAMA012;1;0;87;Y
BAMA013;1;0;232;Y
BAMA015;1;0;222;Y
BAMA016;1;0;120;Y
BAMA017;1;0;92;Y
BAMA018;1;0;221;Y
BAMA019;1;0;191;Y
BAMA020;1;0;166;Y
BAMB001;1;0;59;NA
BANP001;1;0;52;Y
BANP003;1;0;42;Y
BANP004;1;0;21;Y
BAPA001;1;0;73;Y
BAPA002;1;0;39;NA
BAPA003;1;0;89;Y
BAPA004;1;0;36;Y
BAPA005;1;0;144;Y
BAQP001;1;0;40;NA
BASA001;1;0;193;Y
BBCA001;1;0;185;Y
BBCA003;1;0;171;Y
BBCE001;1;0;169;Y
BBFA001;1;0;214;Y
BBFA002;1;0;52;Y
BBFA003;1;0;68;Y
